SLIDE,ERROR_COUNT,TOTAL_PATTERNS,ACCEPTED_PATTERNS,REJECTED_PATTERNS,MISIDENTIFIED_PATTERNS,WORST_MARGIN,VERDICT
0x0b0000,1,8,8,0,0,7,ROBUST
0x0b0000,2,28,28,0,0,6,ROBUST
0x0b0000,3,56,56,0,0,5,ROBUST
0x0b4000,1,8,8,0,0,7,ROBUST
0x0b4000,2,28,28,0,0,6,ROBUST
0x0b4000,3,56,56,0,0,5,ROBUST
0x0b8000,1,8,8,0,0,7,ROBUST
0x0b8000,2,28,28,0,0,6,ROBUST
0x0b8000,3,56,56,0,0,5,ROBUST
0x0bc000,1,8,8,0,0,7,ROBUST
0x0bc000,2,28,28,0,0,6,ROBUST
0x0bc000,3,56,56,0,0,5,ROBUST
0x0c0000,1,8,8,0,0,7,ROBUST
0x0c0000,2,28,28,0,0,6,ROBUST
0x0c0000,3,56,56,0,0,5,ROBUST
0x0c4000,1,8,8,0,0,7,ROBUST
0x0c4000,2,28,28,0,0,6,ROBUST
0x0c4000,3,56,56,0,0,5,ROBUST
0x0c8000,1,8,8,0,0,7,ROBUST
0x0c8000,2,28,28,0,0,6,ROBUST
0x0c8000,3,56,56,0,0,5,ROBUST
0x0cc000,1,8,8,0,0,7,ROBUST
0x0cc000,2,28,28,0,0,6,ROBUST
0x0cc000,3,56,56,0,0,5,ROBUST
0x0d0000,1,8,8,0,0,7,ROBUST
0x0d0000,2,28,28,0,0,6,ROBUST
0x0d0000,3,56,56,0,0,5,ROBUST
0x0d4000,1,8,8,0,0,7,ROBUST
0x0d4000,2,28,28,0,0,6,ROBUST
0x0d4000,3,56,56,0,0,5,ROBUST
0x0d8000,1,8,8,0,0,6,ROBUST
0x0d8000,2,28,28,0,0,5,ROBUST
0x0d8000,3,56,56,0,0,4,ROBUST
0x0dc000,1,8,8,0,0,7,ROBUST
0x0dc000,2,28,28,0,0,6,ROBUST
0x0dc000,3,56,56,0,0,5,ROBUST
0x0e0000,1,8,8,0,0,7,ROBUST
0x0e0000,2,28,28,0,0,6,ROBUST
0x0e0000,3,56,56,0,0,5,ROBUST
0x0e4000,1,8,8,0,0,6,ROBUST
0x0e4000,2,28,28,0,0,5,ROBUST
0x0e4000,3,56,56,0,0,4,ROBUST
0x0e8000,1,8,8,0,0,7,ROBUST
0x0e8000,2,28,28,0,0,6,ROBUST
0x0e8000,3,56,56,0,0,5,ROBUST
0x0ec000,1,8,8,0,0,7,ROBUST
0x0ec000,2,28,28,0,0,6,ROBUST
0x0ec000,3,56,56,0,0,5,ROBUST
0x0f0000,1,8,8,0,0,7,ROBUST
0x0f0000,2,28,28,0,0,6,ROBUST
0x0f0000,3,56,56,0,0,5,ROBUST
0x0f4000,1,8,8,0,0,7,ROBUST
0x0f4000,2,28,28,0,0,6,ROBUST
0x0f4000,3,56,56,0,0,5,ROBUST
0x0f8000,1,8,8,0,0,7,ROBUST
0x0f8000,2,28,28,0,0,6,ROBUST
0x0f8000,3,56,56,0,0,5,ROBUST
0x0fc000,1,8,8,0,0,7,ROBUST
0x0fc000,2,28,28,0,0,6,ROBUST
0x0fc000,3,56,56,0,0,5,ROBUST
0x100000,1,8,8,0,0,7,ROBUST
0x100000,2,28,28,0,0,6,ROBUST
0x100000,3,56,56,0,0,5,ROBUST
0x104000,1,8,8,0,0,7,ROBUST
0x104000,2,28,28,0,0,6,ROBUST
0x104000,3,56,56,0,0,5,ROBUST
0x108000,1,8,8,0,0,7,ROBUST
0x108000,2,28,28,0,0,6,ROBUST
0x108000,3,56,56,0,0,5,ROBUST
0x10c000,1,8,8,0,0,7,ROBUST
0x10c000,2,28,28,0,0,6,ROBUST
0x10c000,3,56,56,0,0,5,ROBUST
0x110000,1,8,8,0,0,7,ROBUST
0x110000,2,28,28,0,0,6,ROBUST
0x110000,3,56,56,0,0,5,ROBUST
0x114000,1,8,8,0,0,7,ROBUST
0x114000,2,28,28,0,0,6,ROBUST
0x114000,3,56,56,0,0,5,ROBUST
0x118000,1,8,8,0,0,7,ROBUST
0x118000,2,28,28,0,0,6,ROBUST
0x118000,3,56,56,0,0,5,ROBUST
0x11c000,1,8,8,0,0,7,ROBUST
0x11c000,2,28,28,0,0,6,ROBUST
0x11c000,3,56,56,0,0,5,ROBUST
0x120000,1,8,8,0,0,6,ROBUST
0x120000,2,28,28,0,0,5,ROBUST
0x120000,3,56,56,0,0,4,ROBUST
0x124000,1,8,8,0,0,7,ROBUST
0x124000,2,28,28,0,0,6,ROBUST
0x124000,3,56,56,0,0,5,ROBUST
0x128000,1,8,8,0,0,7,ROBUST
0x128000,2,28,28,0,0,6,ROBUST
0x128000,3,56,56,0,0,5,ROBUST
0x12c000,1,8,8,0,0,7,ROBUST
0x12c000,2,28,28,0,0,6,ROBUST
0x12c000,3,56,56,0,0,5,ROBUST
0x130000,1,8,8,0,0,7,ROBUST
0x130000,2,28,28,0,0,6,ROBUST
0x130000,3,56,56,0,0,5,ROBUST
0x134000,1,8,8,0,0,7,ROBUST
0x134000,2,28,28,0,0,6,ROBUST
0x134000,3,56,56,0,0,5,ROBUST
0x138000,1,8,8,0,0,7,ROBUST
0x138000,2,28,28,0,0,6,ROBUST
0x138000,3,56,56,0,0,5,ROBUST
0x13c000,1,8,8,0,0,7,ROBUST
0x13c000,2,28,28,0,0,6,ROBUST
0x13c000,3,56,56,0,0,5,ROBUST
0x140000,1,8,8,0,0,7,ROBUST
0x140000,2,28,28,0,0,6,ROBUST
0x140000,3,56,56,0,0,5,ROBUST
0x144000,1,8,8,0,0,7,ROBUST
0x144000,2,28,28,0,0,6,ROBUST
0x144000,3,56,56,0,0,5,ROBUST
0x148000,1,8,8,0,0,5,ROBUST
0x148000,2,28,28,0,0,4,ROBUST
0x148000,3,56,56,0,0,3,ROBUST
0x14c000,1,8,8,0,0,7,ROBUST
0x14c000,2,28,28,0,0,6,ROBUST
0x14c000,3,56,56,0,0,5,ROBUST
0x150000,1,8,8,0,0,7,ROBUST
0x150000,2,28,28,0,0,6,ROBUST
0x150000,3,56,56,0,0,5,ROBUST
0x154000,1,8,8,0,0,7,ROBUST
0x154000,2,28,28,0,0,6,ROBUST
0x154000,3,56,56,0,0,5,ROBUST
0x158000,1,8,8,0,0,7,ROBUST
0x158000,2,28,28,0,0,6,ROBUST
0x158000,3,56,56,0,0,5,ROBUST
